appid,categories,genres,short_description,detailed_description
363150,"['Single-player', 'Steam Cloud', 'Family Sharing']",['Simulation'],"&quot;The ultimate depiction of the Three Kingdom. A heroic drama of a gathering of Legends. &quot;With this as the concept behind Romance of the Three Kingdoms 13, we have compiled an experience that will immerse you even deeper into the world of the Three Kingdoms, with &quot;human drama,&quot; seen through the interactions of the...","&quot;The ultimate depiction of the Three Kingdom. A heroic drama of a gathering of Legends.&quot; Based on this concept for Romance of the Three Kingdoms 13, we have compiled an experience that will immerse the player deep into the historically turbulent world of the Three Kingdoms, with &quot;human drama,&quot; seen through daily interactions both on the battlefield and off between the many heroic characters of the time (all playable), &quot;spectacular battles&quot; shown in majestic battle scenes, &quot;dynamism&quot; expressed across the great land of China in full 3D as each character plots and battles to expand their territory, and much more.  <br />
Players will become one of the heroes that lived during the time of the Three Kingdoms and through their actions and decisions will forge their own unique history in that turbulent yet  period."
364210,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'Strategy']","Woefully ill-prepared, play as Captain Fahrenheit as they uncover long-lost secrets new and old, while fighting in an impossible war between Earth and Mars.","<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/364210/extras/steamgifmainb.gif?t=1726604979"" /><br>After nearly decimating all of mankind, humanity looked to the stars to rebuild their past glory. Under the guidance of a hero and his loyal followers, life was brought back from the brink, their legacy bringing forth peace that lasts to this day. But, trouble brews on the horizon...<br><br>Play as Captain Junius Fahrenheit, a soldier of the United Terran Vanguard onboard the state-of-the-art ship, the Sierra, as they and their crew are thrown into humanity’s first interplanetary war. Tasked to protect Earth and free its colonies from under the Ares Confederacy of Mars’ grasp, there’s no question that they must fight to protect everything they care for...<br>...Are things really as simple as it seems...?<br><br>Experience the first part of the story of Sierra Ops!<h2 class=""bb_tag""><strong>Game Features</strong> </h2> <img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/364210/extras/lapispan-opt.gif?t=1726604979"" /> <ul class=""bb_ul""><li>Strategic mobile tower defense gameplay with shoot 'em up elements.<br></li><li>Beautiful hand-drawn anime visuals with lovingly rendered backgrounds.<br></li><li>Partial voice acting.<br></li><li>Hardcore mecha action.<br></li><li>Ship and loadout customization <img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/364210/extras/blueprints.gif?t=1726604979"" /><br></li><li>Morally gray storyline spanning over 160 000 words that reacts to gameplay performance and choices. <br></li><li>Everything you do matters and has consequences, big and small. Taking one opportunity may mean giving up on another. You only have so much time to act! <br></li><li>Elaborate, time-sensitive relationship system with six characters to befriend one on one and to casually interact with around the ship... maybe it’ll lead to romance? <br></li><li>Wibbly wobbly weird stuff! (Not guaranteed) </li></ul><br><strong>Disclaimer:</strong><br><i>Before purchasing Sierra Ops - Please note that the game was originally a free-to-play episodic game. However, due to visibility issues, Valve suggested we switch to paid app with both episodes 1 and 2 in it. <strong>This means Sierra Ops is now technically an Early Access title.</strong> <br>The price of the game is currently $14.99 USD which includes episodes 1 and 2. Once the full expansion patch is released, the price will be adjusted to $24.99 USD (cheaper than initially planned with episodes 2-4 as $9.99 USD x 3 DLCs). We sincerely apologise for any confusion this may have caused.</i>"
365810,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']",FLYING TIGERS: SHADOWS OVER CHINA is an air-combat action game based on the historical events of America’s secret volunteer squadrons that defended China against Japan in the China-Burma-India theatre of World War 2.,"<h1>Digital Deluxe Edition</h1><p>The Digital Deluxe Edition adds the <strong><i>PARADISE ISLAND DLC</i></strong> which includes the lush <strong><i>Phi Phi Island</i></strong> map, an <strong><i>additional sunset weather</i></strong>, and <strong><i>two amphibious fighter aircraft</i></strong> -- the Japanese <strong><i>A6M2-N &quot;Rufe&quot;</i></strong> and the <strong><i>US Navy “Seahawk” SC-1</i></strong>, both with cockpits.<br><br>Moreover, the Digital Deluxe Edition also gets you the <strong><i>FLYING TIGERS: SHADOWS OVER CHINA OFFICIAL SOUNDTRACK</i></strong> featuring main-themes <strong><i>&quot;HOPE IS VICTORY&quot;</i></strong> and <strong><i>&quot;FOR THE REPUBLIC&quot;</i></strong>, and Norman Wayne's popular country-rock single/EP <strong><i>&quot;THESE GUNS&quot;</i></strong>.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/365810/extras/promo-phi-phi-islands.jpg?t=1697523602"" /><br><br><i>Soundtrack also available on major music services including Bandcamp, Apple Music, Spotify, Deezer, and Xbox/Microsoft Groove Music. ℗ &amp; © 2017 Imperial North Music Agency.</i></p><br><h1>About the Game</h1><strong><i>“The sky was a maelstrom of exploding bombers, twisting tracers, flaming parachutes, and Robert’s own burning fighter...  then his engine quit!”</i></strong><br><br><strong><i>FTSOC</i></strong>, short for <strong><i>FLYING TIGERS: SHADOWS OVER CHINA</i></strong>, is an air-combat action game based on the true events of America’s secret volunteer squadrons that defended China against Japan in the China-Burma-India theatre of World War 2.<br><br>Experience rarely depicted air-battles as you take on the role of headstrong fighter pilots, self-sacrificing transport navigators, and daring bomber crews and gunners of the AVG, the RAF, and the USAAF to repel the onslaught of the Japanese war machine. Dogfight skilled enemy aces using “hit and run” tactics, carry out breakaway air-strikes behind enemy lines, and take part in the defense of China’s critical supply-routes, from Rangoon up the Burma road, and across the deadly Himalayan &quot;Hump&quot;.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/365810/extras/promo-rangoon.jpg?t=1697523602"" /><br><br><strong><i>FLYING TIGERS: SHADOWS OVER CHINA</i></strong> recreates some of the most legendary events of the China-Burma-India theatre. A decent collection of historical missions are included, such as the Japanese Christmas-raids on Rangoon, the AVG’s first combat over Kunming, the Battle of the Salween Gorge, “Hump” transport missions over the Himalayas, flight-training at Kyedaw in Toungoo, the surprise Invasion of Malaya, and many more.<br><br><ul class=""bb_ul""><li>RARELY DEPICTED AIR-BATTLES OF WORLD WAR 2<br>Action-packed campaign recreates the clandestine operations of the American Volunteer Group in fighter, bomber, gunner, reconnaissance, torpedo, and night missions.<br></li><li>APPROACHABLE TAKE ON AIR-COMBAT<br>Features <i>TrazerTime™</i> slow-motion precision firing, arcade-like combat maneuvers, sim-style pitch &amp; roll controls, moody weathers (including thunderous monsoons, beautiful sunsets and misty dawns), 20+ Allied and Japanese planes, adjustable mouse &amp; keyboard, gamepad, and flightstick controls, and more!<br></li><li>MULTIPLAYER FOR UP TO 16 PLAYERS<br>Steam leaderboards eternalize players’ online rankings across five battle modes! Coordinate devastating air-attacks in <i>TEAM DOGFIGHT</i> while providing cover for your comrades, outdo all enemies using powerful rocket weaponry in <i>ROCKET BATTLE VS</i>, or take to the skies to “Capture the Flag” in the <i>FLAGBUSTERS</i> mode.<br></li><li>PAY ONCE AND PLAY<br>No micro-transactions or F2P-elements -- for a single purchase, you’ll get the full, stand-alone experience -- with unrestricted multiplayer!<br></li><li>FLY IN COCKPIT OR THIRD-PERSON MODE<br>Soar through the skies of Southeast Asia in third-person or cockpit view in a variety of American, British, Russian/Chinese, and Japanese aircraft.<br></li><li>STRIKING RENDITION OF THE FAR EAST<br>Faithful environments, beautiful graphics, booming sound effects and an epic-orchestral soundtrack create a lasting impression of the China-Burma-India theatre.</li></ul>"
367120,"['Single-player', 'Steam Achievements']","['Casual', 'Simulation']","A romantic comedy visual novel centered around a girl named Mika Anderson, who gets entangled in the affairs of incubi.","<i>&quot;It seemed like the start of something new. Something that would change.&quot; </i><br>You are a senior in high school along with your two best friends, Naomi Patterson and Suzu Cappini. You are also the granddaughter of Harold Anderson, the CEO and founder of Anderson Toys, a toy company sworn to give children amazing products and give a large part of their profit to charity. <br>One day, you get called home to attend your grandfather's funeral. After the funeral, you learn that you have inherited his large estate. Your father suggests you move in immediately, so the next day, you move out of your parents home and into your estate. <br>When you enter your new home, however, you see five injured, yet very handsome men on the lobby floor. They eventually awaken and make it known that they were attacked by a group of dangerous 'misfits' and ran to find shelter, passing out as soon as they entered your home. <br>You find out that they are incubi, 'demons who consume and use sexual energy of humans to survive'. With nowhere to go and a target on their backs, they ponder what what to do. Out of sympathy, you offer your home as refuge for a while in exchange for minor servitude (it is a big house, after all). They happily agree. <br>What will happen as the incubi get comfy? Why exactly did they come the human world? Who are the 'misfits', and will they stop pursuing them so the incubi can leave? <br>...Will you <strong>WANT</strong> them to leave?<br><br>---<br><br><strong>ABOUT~</strong><br>Seraphim Entertainment brings you &quot;Seduce Me&quot;, a new otome game. This game is a PG-16 otome with pursue-able men and women. What you say and do determines your ending.<br><br><strong>FEATURES~</strong><br><ul class=""bb_ul""><li>Changeable Main Character Name<br></li><li>6 Male and 3 Female romantic options!<br></li><li>22 Potential Endings!<br></li><li>Completely Optional Implied Sex Scenes<br></li><li>Custom GUI<br></li><li>Original Soundtrack<br></li><li>Full English Voice Over<br></li><li>CG Art Gallery<br></li><li>'Surprise' Gallery</li></ul><br>Like the Music? Get the music here!<br>"
367670,"['Full controller support', 'Steam Workshop']",['Utilities'],"Navigate your PC desktop with a controller! Put mouse, media and keyboard control in the palms of your hands so you'll never have to leave the couch again!","<strong>Use your controller even when you're not in-game or in Big Picture.</strong><br>Never leave the couch when using a controller with PC. Control mouse, keyboard and media player. No more getting up to muck about with mouse and keyboard to launch the game you wanted to play. <br><br><strong>Mouse and Keyboard Control on the Desktop</strong><br>When Big-Picture is not running, you can control the mouse with the left thumbstick and scroll with the right thumbstick.<br><br>Click the left thumbstick and you get keyboard input directly on the desktop with a nice arcade-style keyboard spiral.<br><br><strong>Turns off your wireless controller when you turn off your PC</strong><br>Never again will you have to pop out the battery to turn off the controller when you turn off the PC. (Only Xbox 360 Controllers)<br><br><strong>Very Low CPU usage</strong><br>Controller Companion makes sure to stay in the background and use as few resources as possible. It will also disable itself as soon as Big Picture is running.<br><br><strong>Switch between PC and TV displays</strong><br>Switch between your connected monitors or TV screens with the controller.<br><br><strong>Use Controller as a Media Remote</strong><br>Control your music player with the controller using Y for Play/Pause and the shoulder buttons for Previous and Next track.<br><br><strong>Customization</strong><br>You can remap the buttons.<br><br><strong>Xbox 360 Chatpad Support</strong><br>You can finally put the Xbox 360 Chatpad to use on PC. A custom experimental driver will allow you to use the Chatpad whenever you are not playing any games.<h2 class=""bb_tag"">Freqently Asked Questions:</h2><strong>Does it work with Xbox One and Wired Xbox 360 Controllers?</strong><br>Yes, it works with any controller that is supports XInput.<br><br><strong>Why did it stop working when playing fullscreen video?</strong><br>Controller Companion auto-disables for fullscreen programs, you can override it by holding back and start. See the video above about Auto-Disable.<br><br><strong>Will running this app show me as &quot;Playing Controller Companion&quot;?</strong><br>No! Controller Companion will launch through Steam and then run in the background.<br><br><strong>Do I need to have Steam running to use Controller Companion</strong><br>No, you can even set Controller Companion to automatically start when you start your PC.<br><br><strong>Is there any kind of DRM in Controller Companion?</strong><br>No.<br><br><strong>Can I use my PlayStation controllers?</strong><br>No, not without installing an XInput wrapper.<br><br><strong>Is the Xbox One Chatpad supported?</strong><br>The Xbox One Chatpad is supported by Windows 10 natively. You will not need to install Controller Companions chatpad driver do use the Xbox One chatpad<br><br><strong>Can I remap the Xbox One Elite paddles?</strong><br>No, the paddles always have the same functionality as the buttons they have been mapped to. This is a limitation of Windows 10."
368180,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Remote Play Together', 'Family Sharing']","['Action', 'Casual', 'Indie', 'Racing', 'Simulation']","Get ready to enter a new era of physics platforming. Polyball is a classic ball rolling game in the vein of Super Monkey Ball, Marble Madness, and Marble Blast - while taking cues from games such as the Sonic series, Trackmania, and Mario Kart.","<h2 class=""bb_tag"">GET READY TO ENTER A NEW ERA OF PHYSICS PLATFORMING</h2> <i>Polyball</i> is a modern take on classic ball rolling games such as Super Monkey Ball, Marble Madness, and Marble Blast - while taking cues from games such as the Sonic series, Trackmania, and Mario Kart.<h2 class=""bb_tag"">A BIT ABOUT POLYBALL</h2>There's a lot to do in <i>Polyball</i> -- Challenge yourself or a friend to one of over 60 levels included in the initial release, with plans for many more levels via DLC. If you've got some friends over and are looking for something to play, <i>Polyball's</i> splitscreen multiplayer promises a good time. With classic modes like <strong>Battle</strong> and <strong>Trails</strong>, as well as a multiplayer version of the single-player experience, Polyball promises to be a must-have party game.<h2 class=""bb_tag"">CASUAL, COMPETITIVE, OR BOTH</h2>With global leaderboards built right into the level select menu and pregame screen, you can see where you stand among the worlds best and race against their ghosts. If you're more interested in beating your friends, check out the friends-only leaderboards. Collecting shards during your single-player journey will unlock a vast array of customization options, from different ball models to particle effects. This customization carries over into your high-score ghost, online races, as well as local multiplayer having its own version of the customization system designed for split-screen play.<h2 class=""bb_tag"">FOR THE PEOPLE, BY THE PEOPLE</h2>If you've mastered every challenge we put into the game, take a look at the Steam Workshop content to face a whole new set of challenges. Community made content will bridge the gap between developer and player as well as provide a steady stream of new content for you to experience. Steam Workshop gives the players a voice, allowing for the mechanics and level designs of Polyball to stretch far beyond what we had initially put into the game. With a built-in level editor easily accessible from the main menu creating content is a breeze, it even supports custom model and texture importing!<h2 class=""bb_tag"">A BIT ABOUT US</h2>The first full release from digital design practice Studio Monolith, Polyball is an experiment in low-poly visuals and open-ended game design. Our approach with the project was to make the kind of game we used to play, something that had both casual appeal and a limitless competitive ceiling. It was also a genre that we felt hasn't been adequately adapted to the modern world of game design. Our vision was simple: build a game that's easy to pick up, hard to master, and fun both on and off screen.<h2 class=""bb_tag"">FEATURES</h2><br><ul class=""bb_ul""><li> 60+ levels and free DLC<br></li><li> Powerful customization system<br></li><li> Full controller support and keybinding<br></li><li> Splitscreen multiplayer support<br></li><li> Global/Friends Leaderboards<br></li><li> Full soundtrack made by independent artists<br></li><li> Steam Workshop<br></li><li> Tuned mechanics and balanced levels based on community feedback<br></li><li> Mac/Windows/Linux support<br></li><li> Alternate language localization<br></li><li> Ghosts<br></li><li> Steam Cloud Saves<br></li><li> Level editor with custom model support<br></li><li> Stats display<br></li><li> Achievements </li></ul><h2 class=""bb_tag"">MULTIPLAYER MODES</h2><br><ul class=""bb_ul""><li> Trails<br></li><li> Battle<br></li><li> Split-Screen + Online Story Mode<br></li><li> More modes coming soon!</li></ul>"
368620,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'RPG']","Travel back in time to change fate itself, in this beautifully crafted story-driven adventure, inspired by classic 90s action-platformers. Join timekeeper Lunais on her quest for revenge against the empire that killed her family, using time-bending powers to explore a vast, connected world.","<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/368620/extras/DescriptionHeaderA.png?t=1695658139"" /><br><br>With her family murdered in front of her and the ancient Timespinner device destroyed, Lunais is suddenly transported into a unknown world, stranded with seemingly no hope of return. Using her power to control time, Lunais vows to take her revenge on the evil Lachiem Empire, but sometimes the course of history isn’t quite as black and white as it seems...  <br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/368620/extras/DescriptionLunais.png?t=1695658139"" /><br><br>Explore an intricate, connected world with beautifully drawn and detailed pixel art environments. Traverse between the barren present and luscious past of Lachiem, collecting elemental magic orbs and combining their power to destroy enemies with blades and spells. Befriend mysterious creatures called Familiars, such as the adorable dream dragon Meyef, and train them to aid you in battle. Test your skills and timing with intense boss battles, and you venture forth to take on the Emperor himself!<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/368620/extras/DescriptionHeaderB.png?t=1695658139"" /><br><br><ul class=""bb_ul""><li>Stop time to evade foes, use them as platforms and solve puzzles<br></li><li>Discover a lovingly-crafted, beautiful pixel art world and uncover a rich story universe<br></li><li>Clobber enemies with Magic Orbs found throughout the world, which grow in power the more you use them<br></li><li>Befriend mysterious Familiars and train them to aid you in battle<br></li><li>Take on challenging boss battles with an emphasis on skill, timing and dodging<br></li><li>Locate hidden areas and treasures through secret walls and platforming puzzles<br></li><li>Invite a second player to join the adventure by controlling Lunais’ Familiar in local co-op mode<br></li><li>Gothic PS1-style soundtrack by Jeff Ball (composer for Tiny Barbarian DX and violinist for Steven Universe) <br></li><li>Full gamepad support on Windows, Mac &amp; Linux</li></ul>"
371330,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Stats', 'Family Sharing']","['Casual', 'Indie']","Simple, minimalist and difficult. Two Digits is a perfect blend between insanity and happiness. You are given 9 numbers less than 100, and all you have to do is to choose two subsets with the same sum.","Simple, minimalist and difficult. Two Digits is a perfect blend between insanity and happiness.<br><br>The objective is simple. You are given 9 numbers less than 100, and all you have to do is to choose two subsets with the same sum.<br><br>Just try it. See how difficult it is!<br><br>Features<br><br><ul class=""bb_ul""><li>250 puzzles, 11 level sets<br></li><li>Random mode, generate your own levels<br></li><li>Beautiful, calm UI<br></li><li>Steam Achievements</li></ul>"
371420,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together', 'Family Sharing']","['Indie', 'Racing', 'Simulation', 'Sports']","People of Animalville got a carting fever and you must help one of them reach for the championship. Take the wheel, choose a kart, decide which character from 'Teddy Floppy Ear’ universe you want, and start the wild ride!","People of Animalville got a carting fever and you must help one of them reach for the championship. Take the wheel, choose a kart, decide which character from 'Teddy Floppy Ear’ universe you want, and start the wild ride! Compete all day long on nightly and daily tracks that span around the beautiful and colorful countryside. Play in one of many modes including Time Attack and Racing Season. Use power ups to gain advantage or slow down your opponents. Improve your vehicle’s appearance by tuning.<br />
<br />
Features:<br />
<br />
✔ Split Screen multi-player competition<br />
✔ Five daily and five nightly tracks set in the different parts of Animalville<br />
✔ Ten kart models based on the popular cars from behind the &quot;iron curtain&quot;<br />
✔ Five game modes for diverse experience<br />
✔ Four levels of difficulty<br />
✔ Thirty hats to change your appearance<br />
✔ Collectable power-ups and attacks during the race<br />
✔ Tuning to improve kart appearance<br />
✔ Vehicles such as a unique Syrena Sport or… a Tractor<br />
✔ Hours of entertainment included<br />
✔ Over a dozen of achievements<br />
<br />
Game modes<br />
SINGLE RACE: You just want to have a quickie? Choose a track, kart and a character, to instantly start the racing joy.<br />
TIME ATTACK: In mood for a bigger challenge? Race against time or yourself in this classic mode.<br />
COLLECTOR'S SLALOM: It's the best place to learn the tracks. The stars are placed on the optimum path so you can learn the curves and shortcuts. Finish the race before the time ends and collect as many stars lying on your way as you can.<br />
RACING SEASON: Take part in a rally season. Compete on yet unlocked tracks and win a place on the podium to advance to higher and more difficult league.<br />
FLOPPY CUP: Fight for a cup in a playoff 1 – on – 1 races. Defeat all your opponents to advance."
373180,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards', 'Remote Play Together', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie']","The original epic introduction to the eternal KUNG FURY beat ‘em up saga. New stages, and the Hackademy. Both THE ARCADE STRIKES BACK and the A DAY AT THE BEACH campaign.","It's finally here, KUNG FURY: STREET RAGE - ULTIMATE EDITION.<br />
<br />
A BRAND NEW HT-3000 CARTRIDGE GAME PACKED WITH:<br />
<br />
* ENDLESS ARCADE-STYLE BEAT ‘EM UP NAZI FIGHTS<br />
* STEREO SOUND MUSIC INSPIRED BY UP ‘N’ COMING HIT ARTIST DAVID HASSELHOFF<br />
* STATE OF THE ART TRUE COLOR GRAPHICS<br />
* PRO TIPS FROM HACKERMAN IN THE HACKADEMY PRACTICE MODE<br />
* EVEN MORE NAZI ENEMIES TO BEAT<br />
<br />
GET BLOWN INTO ANOTHER DIMENSION AS YOU EXPERIENCE THE GUT-BUSTING FUN WITH THE KUNG FURY GAME. COMBINE THE UNIQUE COMBAT STYLES OF:<br />
<br />
* BARBARIANNA<br />
* HACKERMAN<br />
* TRICERACOP<br />
* DAVID HASSELHOFF<br />
* AND OF COURSE KUNG FURY HIMSELF<br />
<br />
HAND OUT FREE KNUCKLE SANDWICHES IN UNFORGETTABLE STAGES:<br />
<br />
* BACK ALLEY<br />
* DREAMWORLD<br />
* SEWERS<br />
* VIKING AGE<br />
* THE BEACH<br />
<br />
BEAT THE NAZIS TO STOP KUNG FÜHRER AND UPHOLD THE LAW!<br />
<br />
BECOME THE ACTION! BE. KUNG. FURY!!!!<br />
<br />
DISCLAIMER:<br />
*** NOT ENOUGH NAZIS WERE HARMED IN THE MAKING OF THIS GAME ***"
374030,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",Virginia is a single-player first-person thriller set in a small town with a secret. Experience a missing person investigation through the eyes of graduate FBI agent Anne Tarver.,"1992. George H. W. Bush and Boris Yeltsin officially put an end to the Cold War. Barcelona held the summer Olympic Games. The Tonight Show aired its last show with Johnny Carson…<br>… and Lucas Fairfax disappeared from his bedroom in Kingdom, Virginia.<h2 class=""bb_tag"">Synopsis.</h2>Virginia is a single-player first-person thriller set in a small town with a secret.<br>Experience a missing person investigation through the eyes of graduate FBI agent Anne Tarver.<br>Together with your partner, seasoned investigator Maria Halperin, you’ll take a trip to idyllic Burgess County and the secluded town of Kingdom, Virginia, where a young boy has vanished and nobody seems to know why.<br>Before long Anne will find herself negotiating competing interests, uncovering hidden agendas and testing the patience of a community unaccustomed to uninvited scrutiny.<br>As your investigation takes a turn for the sinister, and the list of suspects grows ever larger and stranger, you will make decisions which irrevocably shape the course of Anne’s and agent Halperin’s lives.<h2 class=""bb_tag"">Features.</h2><ul class=""bb_ul""><li>Cinematic editing that immerses players in a story told in the style of film and TV<br></li><li>A dreamlike journey punctuated by intense drama and populated by a memorable cast of curious characters<br></li><li>A stirring soundtrack composed by composer Lyndon Holland and recorded live by the Prague Philharmonic Orchestra at the renowned Smecky Studio (Lost Highway, Mulholland Drive)<br></li><li>An original detective noir story in the tradition of Twin Peaks, Fargo and True Detective<br></li><li>A striking, painterly art style, steeped in the magic of small town America and the vibrant Virginia countryside.</li></ul>"
374900,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Family Sharing']",['Adventure'],"The ABC Murders is an adventure and investigation game adapted from the classic Agatha Christie novel. You are the famous private detective Hercule Poirot and, once again, you find yourself up against a mysterious serial killer who goes by the name of &quot;ABC&quot;.","<h1>A new adventure awaits</h1><p><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/374900/extras/DOTN_Murder_banner_steam.png?t=1743171947"" /></p><br><h1>About the Game</h1><strong>Agatha Christie - The ABC Murders</strong><h2 class=""bb_tag"">Your weapon is your knowledge. Your wits will be put to the ultimate test!</h2><br>The ABC Murders is an adventure and investigation game adapted from the classic Agatha Christie novel. The player embodies the famous Hercule Poirot in a 3rd person perspective adventure game packed with mysteries. Once again, the private detective will find himself up against a mysterious opponent who goes by the name of &quot;ABC&quot;.<h2 class=""bb_tag"">Your intelligence will never have been so challenged!</h2>You will have to explore many crime scenes in various cities set in beautiful surroundings across the United Kingdom. Leave no stone unturned when it comes to cross examinations and deadly puzzles!<br>Observe, question and explore everything possible in order to make the smartest deductions and understand the murderer’s plans!<h2 class=""bb_tag""><strong>KEY FEATURES :</strong></h2><ul class=""bb_ul""><li>Examinations: The player can collect information by examining suspects and paying attention to what they say, how they say it and how they feel.<br></li><li>Puzzles: The player will have to solve puzzles in order to obtain more clues.<br></li><li>Brain Deductions: Depending on the clues collected, the player will be able to make deductions and find out more about the murderer.<br></li><li>Timeline: As the player draws conclusions and progresses through the story, he can use Poirot's Timeline. This means that Hercule Poirot can build a timeline with all the relevant events revealed during the investigation.</li></ul>"
378610,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Indie']",Explore the vast and beautiful world of Valley using the power of the L.E.A.F. suit: a fierce exoskeleton that grants exceptional speed and agility along with the phenomenal ability to manipulate the life and death of all living things.,"Explore the vast and beautiful world of Valley using the power of the L.E.A.F. suit: a fierce exoskeleton that grants exceptional speed and agility along with the phenomenal ability to manipulate the life and death of all living things.  <br><br><strong>Experience the adventure of a lifetime</strong><br><br>Valley is a First-Person adventure unlike any other. Hidden deep within a remote region of the Rocky Mountains, you find yourself bewildered within a secluded valley. With the power of a recently discovered L.E.A.F. suit (Leap Effortlessly though Air Functionality), run and jump your way through beautiful forests, dangerous ruins and vast environments; all the while utilizing the power to control life and death to uncover the startling secrets of the mysterious valley.    <br><br>Be forewarned, with these new-found abilities comes a daunting repercussion: the more you experience death within the valley, the more the valley will die around you.<h2 class=""bb_tag"">Features</h2><br><ul class=""bb_ul""><li><strong>Move faster, jump higher:</strong> make your way through the world of Valley using the incredible speed and agility of the L.E.A.F. suit.</li></ul><br><ul class=""bb_ul""><li><strong>Manipulate life and death:</strong> the L.E.A.F. suit grants its pilots the phenomenal power to both give and take life from any living thing.</li></ul><br><ul class=""bb_ul""><li><strong>Experience a unique twist on death:</strong> the more you die, the more the valley will die around you.</li></ul><br><ul class=""bb_ul""><li><strong>Enhance yourself:</strong> upgrade your suit with new abilities and strengths.</li></ul><br><ul class=""bb_ul""><li><strong>Explore:</strong> the world of Valley is filled with forests, wildlife, ancient ruins, charming creatures, dangerous enemies and other mysteries.</li></ul>"
